timestamp,metric_name,value,__name__,container,cpu,endpoint,id,image,instance,job,metrics_path,name,namespace,node,pod,service,interface,device
2025-10-01 21:50:51,cpu_usage_seconds_total,3.509305,container_cpu_usage_seconds_total,memory-stress,total,https-metrics,/kubepods/burstable/podc90feebe-478d-40e3-a037-dd7082088055/16dc998cbb3ac0b942be0c859418192f11179ac6d6f97cde07498d4c63a8bf08,docker.io/library/memory-stress:latest,192.168.242.134:10250,kubelet,/metrics/cadvisor,16dc998cbb3ac0b942be0c859418192f11179ac6d6f97cde07498d4c63a8bf08,memory-stress-test,x86,memory-stress-app-664c7bc4ff-ptfl6,kube-prometheus-stack-kubelet,,
2025-10-01 21:51:21,cpu_usage_seconds_total,3.783427,container_cpu_usage_seconds_total,memory-stress,total,https-metrics,/kubepods/burstable/podc90feebe-478d-40e3-a037-dd7082088055/16dc998cbb3ac0b942be0c859418192f11179ac6d6f97cde07498d4c63a8bf08,docker.io/library/memory-stress:latest,192.168.242.134:10250,kubelet,/metrics/cadvisor,16dc998cbb3ac0b942be0c859418192f11179ac6d6f97cde07498d4c63a8bf08,memory-stress-test,x86,memory-stress-app-664c7bc4ff-ptfl6,kube-prometheus-stack-kubelet,,
2025-10-01 21:51:51,cpu_usage_seconds_total,4.206403,container_cpu_usage_seconds_total,memory-stress,total,https-metrics,/kubepods/burstable/podc90feebe-478d-40e3-a037-dd7082088055/16dc998cbb3ac0b942be0c859418192f11179ac6d6f97cde07498d4c63a8bf08,docker.io/library/memory-stress:latest,192.168.242.134:10250,kubelet,/metrics/cadvisor,16dc998cbb3ac0b942be0c859418192f11179ac6d6f97cde07498d4c63a8bf08,memory-stress-test,x86,memory-stress-app-664c7bc4ff-ptfl6,kube-prometheus-stack-kubelet,,
2025-10-01 21:52:21,cpu_usage_seconds_total,4.423459,container_cpu_usage_seconds_total,memory-stress,total,https-metrics,/kubepods/burstable/podc90feebe-478d-40e3-a037-dd7082088055/16dc998cbb3ac0b942be0c859418192f11179ac6d6f97cde07498d4c63a8bf08,docker.io/library/memory-stress:latest,192.168.242.134:10250,kubelet,/metrics/cadvisor,16dc998cbb3ac0b942be0c859418192f11179ac6d6f97cde07498d4c63a8bf08,memory-stress-test,x86,memory-stress-app-664c7bc4ff-ptfl6,kube-prometheus-stack-kubelet,,
2025-10-01 21:52:51,cpu_usage_seconds_total,4.642038,container_cpu_usage_seconds_total,memory-stress,total,https-metrics,/kubepods/burstable/podc90feebe-478d-40e3-a037-dd7082088055/16dc998cbb3ac0b942be0c859418192f11179ac6d6f97cde07498d4c63a8bf08,docker.io/library/memory-stress:latest,192.168.242.134:10250,kubelet,/metrics/cadvisor,16dc998cbb3ac0b942be0c859418192f11179ac6d6f97cde07498d4c63a8bf08,memory-stress-test,x86,memory-stress-app-664c7bc4ff-ptfl6,kube-prometheus-stack-kubelet,,
2025-10-01 21:53:21,cpu_usage_seconds_total,5.064688,container_cpu_usage_seconds_total,memory-stress,total,https-metrics,/kubepods/burstable/podc90feebe-478d-40e3-a037-dd7082088055/16dc998cbb3ac0b942be0c859418192f11179ac6d6f97cde07498d4c63a8bf08,docker.io/library/memory-stress:latest,192.168.242.134:10250,kubelet,/metrics/cadvisor,16dc998cbb3ac0b942be0c859418192f11179ac6d6f97cde07498d4c63a8bf08,memory-stress-test,x86,memory-stress-app-664c7bc4ff-ptfl6,kube-prometheus-stack-kubelet,,
2025-10-01 21:53:51,cpu_usage_seconds_total,5.48178,container_cpu_usage_seconds_total,memory-stress,total,https-metrics,/kubepods/burstable/podc90feebe-478d-40e3-a037-dd7082088055/16dc998cbb3ac0b942be0c859418192f11179ac6d6f97cde07498d4c63a8bf08,docker.io/library/memory-stress:latest,192.168.242.134:10250,kubelet,/metrics/cadvisor,16dc998cbb3ac0b942be0c859418192f11179ac6d6f97cde07498d4c63a8bf08,memory-stress-test,x86,memory-stress-app-664c7bc4ff-ptfl6,kube-prometheus-stack-kubelet,,
2025-10-01 21:54:21,cpu_usage_seconds_total,5.706618,container_cpu_usage_seconds_total,memory-stress,total,https-metrics,/kubepods/burstable/podc90feebe-478d-40e3-a037-dd7082088055/16dc998cbb3ac0b942be0c859418192f11179ac6d6f97cde07498d4c63a8bf08,docker.io/library/memory-stress:latest,192.168.242.134:10250,kubelet,/metrics/cadvisor,16dc998cbb3ac0b942be0c859418192f11179ac6d6f97cde07498d4c63a8bf08,memory-stress-test,x86,memory-stress-app-664c7bc4ff-ptfl6,kube-prometheus-stack-kubelet,,
2025-10-01 21:54:51,cpu_usage_seconds_total,5.924105,container_cpu_usage_seconds_total,memory-stress,total,https-metrics,/kubepods/burstable/podc90feebe-478d-40e3-a037-dd7082088055/16dc998cbb3ac0b942be0c859418192f11179ac6d6f97cde07498d4c63a8bf08,docker.io/library/memory-stress:latest,192.168.242.134:10250,kubelet,/metrics/cadvisor,16dc998cbb3ac0b942be0c859418192f11179ac6d6f97cde07498d4c63a8bf08,memory-stress-test,x86,memory-stress-app-664c7bc4ff-ptfl6,kube-prometheus-stack-kubelet,,
2025-10-01 21:55:21,cpu_usage_seconds_total,6.356058,container_cpu_usage_seconds_total,memory-stress,total,https-metrics,/kubepods/burstable/podc90feebe-478d-40e3-a037-dd7082088055/16dc998cbb3ac0b942be0c859418192f11179ac6d6f97cde07498d4c63a8bf08,docker.io/library/memory-stress:latest,192.168.242.134:10250,kubelet,/metrics/cadvisor,16dc998cbb3ac0b942be0c859418192f11179ac6d6f97cde07498d4c63a8bf08,memory-stress-test,x86,memory-stress-app-664c7bc4ff-ptfl6,kube-prometheus-stack-kubelet,,
