timestamp,metric_name,value,__name__,container,cpu,endpoint,id,image,instance,job,metrics_path,name,namespace,node,pod,service,failure_type,scope,interface,device
2025-10-02 07:57:51,container_cpu_usage_seconds_total,8.712295,container_cpu_usage_seconds_total,memory-stress,total,https-metrics,/kubepods/burstable/podc90feebe-478d-40e3-a037-dd7082088055/0300a3ee943145f38e9ce433dc486332bc89218d2edc7bad5284adb4cae26920,docker.io/library/memory-stress:latest,192.168.242.134:10250,kubelet,/metrics/cadvisor,0300a3ee943145f38e9ce433dc486332bc89218d2edc7bad5284adb4cae26920,memory-stress-test,x86,memory-stress-app-664c7bc4ff-ptfl6,kube-prometheus-stack-kubelet,,,,
2025-10-02 07:58:21,container_cpu_usage_seconds_total,8.712295,container_cpu_usage_seconds_total,memory-stress,total,https-metrics,/kubepods/burstable/podc90feebe-478d-40e3-a037-dd7082088055/0300a3ee943145f38e9ce433dc486332bc89218d2edc7bad5284adb4cae26920,docker.io/library/memory-stress:latest,192.168.242.134:10250,kubelet,/metrics/cadvisor,0300a3ee943145f38e9ce433dc486332bc89218d2edc7bad5284adb4cae26920,memory-stress-test,x86,memory-stress-app-664c7bc4ff-ptfl6,kube-prometheus-stack-kubelet,,,,
2025-10-02 07:58:51,container_cpu_usage_seconds_total,8.712295,container_cpu_usage_seconds_total,memory-stress,total,https-metrics,/kubepods/burstable/podc90feebe-478d-40e3-a037-dd7082088055/0300a3ee943145f38e9ce433dc486332bc89218d2edc7bad5284adb4cae26920,docker.io/library/memory-stress:latest,192.168.242.134:10250,kubelet,/metrics/cadvisor,0300a3ee943145f38e9ce433dc486332bc89218d2edc7bad5284adb4cae26920,memory-stress-test,x86,memory-stress-app-664c7bc4ff-ptfl6,kube-prometheus-stack-kubelet,,,,
2025-10-02 07:59:21,container_cpu_usage_seconds_total,8.712295,container_cpu_usage_seconds_total,memory-stress,total,https-metrics,/kubepods/burstable/podc90feebe-478d-40e3-a037-dd7082088055/0300a3ee943145f38e9ce433dc486332bc89218d2edc7bad5284adb4cae26920,docker.io/library/memory-stress:latest,192.168.242.134:10250,kubelet,/metrics/cadvisor,0300a3ee943145f38e9ce433dc486332bc89218d2edc7bad5284adb4cae26920,memory-stress-test,x86,memory-stress-app-664c7bc4ff-ptfl6,kube-prometheus-stack-kubelet,,,,
2025-10-02 07:59:51,container_cpu_usage_seconds_total,8.712295,container_cpu_usage_seconds_total,memory-stress,total,https-metrics,/kubepods/burstable/podc90feebe-478d-40e3-a037-dd7082088055/0300a3ee943145f38e9ce433dc486332bc89218d2edc7bad5284adb4cae26920,docker.io/library/memory-stress:latest,192.168.242.134:10250,kubelet,/metrics/cadvisor,0300a3ee943145f38e9ce433dc486332bc89218d2edc7bad5284adb4cae26920,memory-stress-test,x86,memory-stress-app-664c7bc4ff-ptfl6,kube-prometheus-stack-kubelet,,,,
2025-10-02 08:00:21,container_cpu_usage_seconds_total,8.712295,container_cpu_usage_seconds_total,memory-stress,total,https-metrics,/kubepods/burstable/podc90feebe-478d-40e3-a037-dd7082088055/0300a3ee943145f38e9ce433dc486332bc89218d2edc7bad5284adb4cae26920,docker.io/library/memory-stress:latest,192.168.242.134:10250,kubelet,/metrics/cadvisor,0300a3ee943145f38e9ce433dc486332bc89218d2edc7bad5284adb4cae26920,memory-stress-test,x86,memory-stress-app-664c7bc4ff-ptfl6,kube-prometheus-stack-kubelet,,,,
2025-10-02 08:00:51,container_cpu_usage_seconds_total,8.712295,container_cpu_usage_seconds_total,memory-stress,total,https-metrics,/kubepods/burstable/podc90feebe-478d-40e3-a037-dd7082088055/0300a3ee943145f38e9ce433dc486332bc89218d2edc7bad5284adb4cae26920,docker.io/library/memory-stress:latest,192.168.242.134:10250,kubelet,/metrics/cadvisor,0300a3ee943145f38e9ce433dc486332bc89218d2edc7bad5284adb4cae26920,memory-stress-test,x86,memory-stress-app-664c7bc4ff-ptfl6,kube-prometheus-stack-kubelet,,,,
2025-10-02 08:01:21,container_cpu_usage_seconds_total,8.712295,container_cpu_usage_seconds_total,memory-stress,total,https-metrics,/kubepods/burstable/podc90feebe-478d-40e3-a037-dd7082088055/0300a3ee943145f38e9ce433dc486332bc89218d2edc7bad5284adb4cae26920,docker.io/library/memory-stress:latest,192.168.242.134:10250,kubelet,/metrics/cadvisor,0300a3ee943145f38e9ce433dc486332bc89218d2edc7bad5284adb4cae26920,memory-stress-test,x86,memory-stress-app-664c7bc4ff-ptfl6,kube-prometheus-stack-kubelet,,,,
2025-10-02 08:01:51,container_cpu_usage_seconds_total,8.712295,container_cpu_usage_seconds_total,memory-stress,total,https-metrics,/kubepods/burstable/podc90feebe-478d-40e3-a037-dd7082088055/0300a3ee943145f38e9ce433dc486332bc89218d2edc7bad5284adb4cae26920,docker.io/library/memory-stress:latest,192.168.242.134:10250,kubelet,/metrics/cadvisor,0300a3ee943145f38e9ce433dc486332bc89218d2edc7bad5284adb4cae26920,memory-stress-test,x86,memory-stress-app-664c7bc4ff-ptfl6,kube-prometheus-stack-kubelet,,,,
2025-10-02 08:17:51,container_cpu_usage_seconds_total,0.011796,container_cpu_usage_seconds_total,memory-stress,total,https-metrics,/kubepods/burstable/podc90feebe-478d-40e3-a037-dd7082088055/31247c5cec23e30a3bfae2a01af275043006223e1880b0b442759439bf592cb2,docker.io/library/memory-stress:latest,192.168.242.134:10250,kubelet,/metrics/cadvisor,31247c5cec23e30a3bfae2a01af275043006223e1880b0b442759439bf592cb2,memory-stress-test,x86,memory-stress-app-664c7bc4ff-ptfl6,kube-prometheus-stack-kubelet,,,,
2025-10-02 07:47:51,container_cpu_usage_seconds_total,8.502394,container_cpu_usage_seconds_total,memory-stress,total,https-metrics,/kubepods/burstable/podc90feebe-478d-40e3-a037-dd7082088055/55b4f57894f200e135d328bd6eb7f91de950b5df16134fffcb84fa27d55915e0,docker.io/library/memory-stress:latest,192.168.242.134:10250,kubelet,/metrics/cadvisor,55b4f57894f200e135d328bd6eb7f91de950b5df16134fffcb84fa27d55915e0,memory-stress-test,x86,memory-stress-app-664c7bc4ff-ptfl6,kube-prometheus-stack-kubelet,,,,
2025-10-02 07:48:21,container_cpu_usage_seconds_total,8.502394,container_cpu_usage_seconds_total,memory-stress,total,https-metrics,/kubepods/burstable/podc90feebe-478d-40e3-a037-dd7082088055/55b4f57894f200e135d328bd6eb7f91de950b5df16134fffcb84fa27d55915e0,docker.io/library/memory-stress:latest,192.168.242.134:10250,kubelet,/metrics/cadvisor,55b4f57894f200e135d328bd6eb7f91de950b5df16134fffcb84fa27d55915e0,memory-stress-test,x86,memory-stress-app-664c7bc4ff-ptfl6,kube-prometheus-stack-kubelet,,,,
2025-10-02 07:48:51,container_cpu_usage_seconds_total,8.502394,container_cpu_usage_seconds_total,memory-stress,total,https-metrics,/kubepods/burstable/podc90feebe-478d-40e3-a037-dd7082088055/55b4f57894f200e135d328bd6eb7f91de950b5df16134fffcb84fa27d55915e0,docker.io/library/memory-stress:latest,192.168.242.134:10250,kubelet,/metrics/cadvisor,55b4f57894f200e135d328bd6eb7f91de950b5df16134fffcb84fa27d55915e0,memory-stress-test,x86,memory-stress-app-664c7bc4ff-ptfl6,kube-prometheus-stack-kubelet,,,,
2025-10-02 07:49:21,container_cpu_usage_seconds_total,8.502394,container_cpu_usage_seconds_total,memory-stress,total,https-metrics,/kubepods/burstable/podc90feebe-478d-40e3-a037-dd7082088055/55b4f57894f200e135d328bd6eb7f91de950b5df16134fffcb84fa27d55915e0,docker.io/library/memory-stress:latest,192.168.242.134:10250,kubelet,/metrics/cadvisor,55b4f57894f200e135d328bd6eb7f91de950b5df16134fffcb84fa27d55915e0,memory-stress-test,x86,memory-stress-app-664c7bc4ff-ptfl6,kube-prometheus-stack-kubelet,,,,
2025-10-02 07:49:51,container_cpu_usage_seconds_total,8.502394,container_cpu_usage_seconds_total,memory-stress,total,https-metrics,/kubepods/burstable/podc90feebe-478d-40e3-a037-dd7082088055/55b4f57894f200e135d328bd6eb7f91de950b5df16134fffcb84fa27d55915e0,docker.io/library/memory-stress:latest,192.168.242.134:10250,kubelet,/metrics/cadvisor,55b4f57894f200e135d328bd6eb7f91de950b5df16134fffcb84fa27d55915e0,memory-stress-test,x86,memory-stress-app-664c7bc4ff-ptfl6,kube-prometheus-stack-kubelet,,,,
